2013,Краснодарский край,1.02
2013,Красноярский край,0.59
2013,Курганская область,7.25
2013,Курская область,5.18
2013,Ленинградская область,15.61
2013,Липецкая область,1.56
2013,Магаданская область,0.73
2013,Марий Эл,8.59
2013,Мордовия,8.47
2013,Москва,0.21
2013,Московская область,11.79
2013,Мурманская область,0.3
2013,Ненецкий автономный округ,0.0
2013,Нижегородская область,1.85
2013,Новгородская область,4.3
2013,Новосибирская область,0.93
2013,Омская область,6.48
2013,Оренбургская область,2.56
2013,Орловская область,7.14
2013,Пензенская область,8.65
2013,Пермский край,1.16
2013,Приморский край,0.93
2013,Псковская область,3.34
2013,Республика Алтай,0.57
2013,Республика Коми,1.27
2013,Республика Тыва,0.2
2013,Ростовская область,2.6
2013,Рязанская область,4.3
2013,Самарская область,0.67
2013,Санкт-Петербург,0.21
2013,Саратовская область,4.78
2013,Сахалинская область,0.08
2013,Свердловская область,1.03
2013,Северная Осетия,0.0
2013,Смоленская область,6.58
2013,Ставропольский край,2.89
2013,Тамбовская область,6.29
2013,Татарстан,1.63
2013,Тверская область,7.49
2013,Томская область,1.13
2013,Тульская область,10.75
2013,Тюменская область,0.61
2013,Удмуртия,2.74
2013,Ульяновская область,5.53
2013,Хабаровский край,0.6
2013,Хакасия,2.88
2013,Ханты-Мансийский автономный округ,0.18
2013,Челябинская область,1.01
2013,Чечня,1.37
2013,Чувашия,12.4
2013,Чукотский автономный округ,0.0
2013,Якутия,0.04
2013,Ямало-Ненецкий автономный округ,0.0
2013,Ярославская область,1.55
2014,Адыгея,15.65
2014,Алтайский край,0.95
2014,Амурская область,0.83
2014,Архангельская область,0.95
2014,Астраханская область,1.81
2014,Башкортостан,7.01
2014,Белгородская область,1.97
2014,Брянская область,8.28
2014,Бурятия,1.12
2014,Владимирская область,8.42
2014,Волгоградская область,4.18
2014,Вологодская область,0.51
2014,Воронежская область,2.88
2014,Дагестан,2.76
2014,Еврейская автономная область,10.51
2014,Забайкальский край,1.25
2014,Ивановская область,10.35
2014,Ингушетия,0.0
2014,Иркутская область,0.98
2014,Кабардино-Балкария,5.0
2014,Калининградская область,1.22
2014,Калмыкия,11.45
2014,Калужская область,6.58
2014,Камчатский край,0.0
2014,Карачаево-Черкесия,3.43
2014,Карелия,1.4
2014,Кемеровская область,0.93
2014,Кировская область,3.81
2014,Костромская область,4.27
2014,Краснодарский край,1.22
2014,Красноярский край,0.61
2014,Крым,
2014,Курганская область,6.24
2014,Курская область,5.3
2014,Ленинградская область,14.73
2014,Липецкая область,3.01
2014,Магаданская область,1.43
2014,Марий Эл,9.18
2014,Мордовия,7.25
2014,Москва,0.31
2014,Московская область,10.64
2014,Мурманская область,0.26
2014,Ненецкий автономный округ,0.0
2014,Нижегородская область,1.74
2014,Новгородская область,4.38
2014,Новосибирская область,0.83
2014,Омская область,5.69
2014,Оренбургская область,2.73
2014,Орловская область,8.83
2014,Пензенская область,6.8
2014,Пермский край,1.41
2014,Приморский край,0.95
2014,Псковская область,3.57
2014,Республика Алтай,0.57
2014,Республика Коми,1.45
2014,Республика Тыва,0.59
2014,Ростовская область,2.88
2014,Рязанская область,4.22
2014,Самарская область,0.95
2014,Санкт-Петербург,0.08
2014,Саратовская область,4.43
2014,Сахалинская область,0.49
2014,Свердловская область,0.87
2014,Севастополь,
2014,Северная Осетия,0.0
2014,Смоленская область,7.66
2014,Ставропольский край,3.14
2014,Тамбовская область,6.79
2014,Татарстан,1.6
2014,Тверская область,7.34
2014,Томская область,1.9
2014,Тульская область,10.76
2014,Тюменская область,1.44
2014,Удмуртия,3.06
2014,Ульяновская область,5.1
2014,Хабаровский край,0.66
2014,Хакасия,4.38
2014,Ханты-Мансийский автономный округ,0.22
2014,Челябинская область,1.19
2014,Чечня,1.25
2014,Чувашия,13.72
2014,Чукотский автономный округ,0.0
2014,Якутия,0.06
2014,Ямало-Ненецкий автономный округ,0.16
2014,Ярославская область,1.8
2015,Адыгея,15.71
2015,Алтайский край,1.39
2015,Амурская область,1.16
2015,Архангельская область,1.28
2015,Астраханская область,1.78
2015,Башкортостан,7.68
2015,Белгородская область,2.67
2015,Брянская область,7.58
2015,Бурятия,1.68
2015,Владимирская область,10.5
2015,Волгоградская область,3.77
2015,Вологодская область,0.93
2015,Воронежская область,3.14
2015,Дагестан,3.88
2015,Еврейская автономная область,10.26
2015,Забайкальский край,1.96
2015,Ивановская область,9.25
2015,Ингушетия,0.19
2015,Иркутская область,0.93
2015,Кабардино-Балкария,4.4
2015,Калининградская область,0.98
2015,Калмыкия,10.7
2015,Калужская область,6.35
2015,Камчатский край,0.0
2015,Карачаево-Черкесия,4.27
2015,Карелия,1.4
2015,Кемеровская область,0.86
2015,Кировская область,3.86
2015,Костромская область,5.06
2015,Краснодарский край,1.06
2015,Красноярский край,0.68
2015,Крым,1.39
2015,Курганская область,5.95
2015,Курская область,4.9
2015,Ленинградская область,15.94
2015,Липецкая область,2.8
2015,Магаданская область,0.56
2015,Марий Эл,9.41
2015,Мордовия,9.65
2015,Москва,0.34
2015,Московская область,10.73
2015,Мурманская область,0.4
2015,Ненецкий автономный округ,0.0
2015,Нижегородская область,1.71
2015,Новгородская область,4.08
2015,Новосибирская область,1.19
2015,Омская область,5.59
2015,Оренбургская область,3.16
2015,Орловская область,8.34
2015,Пензенская область,7.82
2015,Пермский край,1.52
2015,Приморский край,1.09
2015,Псковская область,4.24
2015,Республика Алтай,0.89
2015,Республика Коми,1.6
